L_nm,W_um,T_K,Vgs_V,Vds_V,log10_Id_A
65.0,0.2,250.0,0.0,0.05,-10.153744557759074
65.0,0.2,250.0,0.0,0.1,-10.041719527854262
65.0,0.2,250.0,0.0,0.3,-9.706436368191602
65.0,0.2,250.0,0.0,0.5,-9.3791105719742
65.0,0.2,250.0,0.0,0.9,-8.713599673292576
65.0,0.2,250.0,0.0,1.0,-8.544276772999906
65.0,0.2,250.0,0.01,0.05,-10.019645696585274
65.0,0.2,250.0,0.01,0.1,-9.907897208407816
65.0,0.2,250.0,0.01,0.3,-9.574615786983255
65.0,0.2,250.0,0.01,0.5,-9.250925676390098
65.0,0.2,250.0,0.01,0.9,-8.597926135640366
65.0,0.2,250.0,0.01,1.0,-8.43277477485682
65.0,0.2,250.0,0.02,0.05,-9.885559164444107
65.0,0.2,250.0,0.02,0.1,-9.774016534336424
65.0,0.2,250.0,0.02,0.3,-9.442211379849503
65.0,0.2,250.0,0.02,0.5,-9.121217476303812
65.0,0.2,250.0,0.02,0.9,-8.477816682381313
65.0,0.2,250.0,0.02,1.0,-8.315980043360977
65.0,0.2,250.0,0.03,0.05,-9.751528929895825
65.0,0.2,250.0,0.03,0.1,-9.640147449653425
65.0,0.2,250.0,0.03,0.3,-9.30947610707241
65.0,0.2,250.0,0.03,0.5,-8.9905363560181
65.0,0.2,250.0,0.03,0.9,-8.354601312891983
65.0,0.2,250.0,0.03,1.0,-8.19541286840143
65.0,0.2,250.0,0.04,0.05,-9.617588487285731
65.0,0.2,250.0,0.04,0.1,-9.50634541074784
65.0,0.2,250.0,0.04,0.3,-9.176593593882265
65.0,0.2,250.0,0.04,0.5,-8.859287742020733
65.0,0.2,250.0,0.04,0.9,-8.229320268132147
65.0,0.2,250.0,0.04,1.0,-8.072288905958514
65.0,0.2,250.0,0.05,0.05,-9.483768804842331
65.0,0.2,250.0,0.05,0.1,-9.372651556506806
65.0,0.2,250.0,0.05,0.3,-9.043698515161363
65.0,0.2,250.0,0.05,0.5,-8.727759119032765
65.0,0.2,250.0,0.05,0.9,-8.102768351640947
65.0,0.2,250.0,0.05,1.0,-7.947552317843846
65.0,0.2,250.0,0.06,0.05,-9.350096840682822
65.0,0.2,250.0,0.06,0.1,-9.239104272890842
65.0,0.2,250.0,0.06,0.3,-8.910893594530918
65.0,0.2,250.0,0.06,0.5,-8.596172823507873
65.0,0.2,250.0,0.06,0.9,-7.975551277637256
65.0,0.2,250.0,0.06,1.0,-7.821932859700054
65.0,0.2,250.0,0.07,0.05,-9.216602439902859
65.0,0.2,250.0,0.07,0.1,-9.105738227519009
65.0,0.2,250.0,0.07,0.3,-8.778267656903964
65.0,0.2,250.0,0.07,0.5,-8.46470208147983
65.0,0.2,250.0,0.07,0.9,-7.848130860294132
65.0,0.2,250.0,0.07,1.0,-7.695990133303201
65.0,0.2,250.0,0.08,0.05,-9.083315015608033
65.0,0.2,250.0,0.08,0.1,-8.972589228295574
65.0,0.2,250.0,0.08,0.3,-8.64588963919985
65.0,0.2,250.0,0.08,0.5,-8.333483891408127
65.0,0.2,250.0,0.08,0.9,-7.720867128472855
65.0,0.2,250.0,0.08,1.0,-7.5701557045213095
65.0,0.2,250.0,0.09,0.05,-8.950266558601896
65.0,0.2,250.0,0.09,0.1,-8.839699576678534
65.0,0.2,250.0,0.09,0.3,-8.513831735620057
65.0,0.2,250.0,0.09,0.5,-8.20263896085326
65.0,0.2,250.0,0.09,0.9,-7.5940529085883215
65.0,0.2,250.0,0.09,1.0,-7.444780966697921
65.0,0.2,250.0,0.1,0.05,-8.8174997526208
65.0,0.2,250.0,0.1,0.1,-8.707108462576361
65.0,0.2,250.0,0.1,0.3,-8.382160205286954
